StartTime: 2019-01-06 08:32:25.740
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
217.047	0.2886	-5.1646	6.5239	0.4272	-0.6714	0.0610	-37.9413	-1.5326	65.0995	35.7300	212	48	106	0.79938	-0.26718	-0.18555	0.50510 
218.055	0.2690	-5.1553	6.5352	0.5493	0.9766	-0.4272	-37.8864	-1.6205	64.9512	35.7800	208	44	104	0.80029	-0.26666	-0.18561	0.50391 
219.038	0.3149	-5.1475	6.5464	0.3662	0.5493	-0.1221	-37.8369	-1.8402	64.9292	35.8100	212	32	102	0.80081	-0.26538	-0.18686	0.50333 
220.046	0.5474	-5.1479	6.4321	2.9907	1.8311	1.4038	-37.7545	-2.0874	65.7806	35.6800	217	35	113	0.79761	-0.26227	-0.19016	0.50876 
221.050	1.8882	-4.4678	6.5244	22.9492	-42.6025	40.8936	-28.9105	-7.9321	112.9504	35.6700	201	-71	-171	0.54794	-0.08167	-0.24460	0.79578 
222.036	-5.8623	-0.9863	2.5903	112.6099	12.2681	-50.2319	-30.8221	69.4885	83.3093	35.6800	292	-126	98	0.49527	-0.52649	0.26608	0.63913 
223.041	-6.9551	6.8984	5.4141	-53.0396	-95.9473	-15.0757	53.5858	33.7390	121.7615	35.5400	238	-184	112	0.53006	-0.01630	0.50287	0.68268 
224.025	-1.9141	3.1274	6.7598	-65.6128	32.9590	4.2725	12.4915	28.1635	36.4307	35.4900	355	21	-9	0.92416	0.02463	0.26273	0.27625 
225.030	-2.8872	2.2798	7.0532	-13.3057	-30.6396	-23.3765	17.0013	23.6646	44.6484	35.4300	354	-18	-36	0.90692	0.05676	0.24258	0.33966 
226.040	-2.4365	1.5527	8.5737	-17.7002	31.5552	-2.1973	8.8824	18.7262	45.8130	35.4400	341	-9	-63	0.91101	0.00723	0.17920	0.37128 
227.021	-3.3477	0.0283	7.6631	0.1831	0.0610	0.1221	1.6260	24.9554	59.2712	35.5100	349	9	-31	0.85007	-0.09476	0.19467	0.48007 
228.026	-3.3403	0.0278	7.6729	0.2441	0.1831	0.0610	1.3129	24.3732	72.7350	35.5500	348	2	-36	0.78845	-0.11612	0.17661	0.57761 
229.048	-3.3462	0.0293	7.6563	0.3052	0.1831	0.0000	1.0492	24.1040	80.2057	35.5700	345	5	-27	0.74921	-0.12762	0.16550	0.62845 
230.038	-3.3364	0.0288	7.6611	0.0000	0.0610	0.0000	0.7800	23.9008	84.1937	35.5800	353	3	-31	0.72681	-0.13388	0.15814	0.65479 
231.041	-3.3418	0.0239	7.6616	0.0000	0.0000	0.0610	0.5438	23.7579	86.4294	35.5900	353	11	-29	0.71381	-0.13757	0.15320	0.66937 
232.028	-3.3433	0.0327	7.6641	0.0000	0.0610	0.0610	0.4285	23.6920	87.6709	35.6000	346	-2	-24	0.70645	-0.13956	0.15063	0.67728 
233.052	-3.3398	0.0273	7.6729	0.0000	0.0000	0.0000	0.3516	23.6371	88.3136	35.5800	339	9	-27	0.70264	-0.14050	0.14905	0.68140 
234.040	-3.3389	0.0308	7.6660	0.0000	0.0000	0.0610	0.3021	23.6041	88.6761	35.5900	346	0	-28	0.70044	-0.14108	0.14810	0.68372 
235.034	-3.3452	0.0259	7.6650	0.0000	0.0610	0.0610	0.2856	23.5822	88.8135	35.5800	351	3	-27	0.69965	-0.14124	0.14771	0.68460 
236.044	-3.3433	0.0264	7.6689	0.0000	0.0000	0.0610	0.2692	23.5822	88.9563	35.5800	343	7	-31	0.69876	-0.14151	0.14746	0.68549 
237.030	-3.3398	0.0249	7.6650	0.0000	0.0000	0.0000	0.2637	23.5767	89.0442	35.5800	349	7	-23	0.69824	-0.14160	0.14725	0.68607 
238.031	-3.3481	0.0322	7.6714	0.0000	0.0610	0.0000	0.2637	23.5767	89.0936	35.5700	355	5	-21	0.69794	-0.14169	0.14719	0.68634 
239.033	-3.3472	0.0244	7.6577	0.0610	0.0000	0.0610	0.2527	23.5931	89.0936	35.5700	349	7	-29	0.69794	-0.14185	0.14725	0.68634 
240.021	-3.3418	0.0249	7.6548	0.0610	0.0000	0.0610	0.2472	23.5931	89.0552	35.5500	347	11	-25	0.69812	-0.14185	0.14722	0.68613 
241.023	-3.3442	0.0298	7.6646	0.0000	0.0610	0.0610	0.2472	23.5986	89.0991	35.5500	346	8	-30	0.69788	-0.14194	0.14719	0.68640 
242.013	-3.3477	0.0293	7.6719	0.0610	0.0000	0.0610	0.2582	23.5876	89.0881	35.5500	349	7	-33	0.69794	-0.14182	0.14725	0.68631 
243.016	-3.3398	0.0239	7.6626	-0.0610	0.0610	0.0610	0.2527	23.5822	89.0057	35.5300	349	1	-35	0.69846	-0.14169	0.14728	0.68582 
244.028	-3.3530	0.0239	7.6689	0.0000	0.0000	0.0610	0.2582	23.5931	89.0552	35.5200	346	12	-30	0.69815	-0.14178	0.14731	0.68610 
245.007	-3.3511	0.0313	7.6602	0.0000	0.0000	0.0000	0.2637	23.5876	89.0717	35.5200	351	1	-23	0.69806	-0.14172	0.14728	0.68622 
246.013	-3.3491	0.0322	7.6592	0.0000	0.0000	0.0000	0.2527	23.5876	89.1046	35.5200	343	9	-21	0.69785	-0.14185	0.14719	0.68640 
247.011	-3.3462	0.0293	7.6582	0.0000	0.0000	0.0000	0.2527	23.5931	89.0936	35.5200	349	9	-29	0.69791	-0.14188	0.14722	0.68637 
